parameter1,parameter2,output
0.238,9.874,19.8
3.321,8.752,28.5
1.752,5.953,15.0
6.093,5.592,48.3
0.97,7.484,15.9
2.773,8.504,24.7
5.327,10.792,50.0
9.422,1.103,91.0
0.48,3.553,7.3
6.413,8.306,57.7
9.431,14.539,118.0
2.394,10.028,25.8
8.89,3.97,87.0
6.637,13.11,70.3
4.059,6.092,28.7
4.045,13.121,42.6
7.505,4.326,65.0
8.679,1.435,78.2
2.493,4.423,15.1
5.029,5.968,37.2
3.633,1.98,17.2
4.43,5.986,31.6
8.887,10.441,99.9
5.194,6.605,40.2
5.069,8.331,42.4
8.075,1.059,67.3
7.175,7.733,66.9
3.597,6.333,25.6
0.43,6.502,13.2
5.429,3.208,35.9
2.209,4.939,14.8
9.924,0.921,100.3
0.055,13.328,26.7
2.922,9.866,28.3
1.915,8.834,21.3
0.271,8.628,17.3
3.782,13.165,40.6
7.128,14.012,78.8
9.028,14.247,110.0
0.55,13.115,26.5
5.653,9.911,51.8
4.555,5.643,32.0
4.184,14.116,45.7
2.515,9.214,24.8
7.8,3.015,66.9
8.773,4.46,85.9
8.721,8.726,93.5
2.121,0.193,4.9
1.126,0.657,2.6
5.02,4.255,33.7
8.321,7.732,84.7
1.022,2.164,5.4
7.131,6.441,63.7
1.475,2.597,7.4
7.851,5.713,73.1
2.108,13.423,31.3
0.185,6.731,13.5
6.383,7.247,55.2
8.712,5.314,86.5
6.523,0.506,43.6
8.511,5.376,83.2
2.682,13.171,33.5
4.798,6.966,37.0
4.907,2.595,29.3
2.683,6.51,20.2
7.487,4.68,65.4
3.382,14.257,40.0
3.5,2.802,17.9
0.271,5.316,10.7
2.781,12.609,33.0
6.584,12.928,69.2
6.6,8.886,61.3
4.717,7.166,36.6
3.354,9.051,29.4
5.475,2.111,34.2
1.034,4.313,9.7
2.533,6.419,19.3
5.506,1.061,32.4
3.679,2.141,17.8
6.77,10.704,67.2
7.556,0.36,57.8
9.303,14.889,116.3
9.541,7.546,106.1
5.064,3.328,32.3
7.759,6.155,72.5
0.089,7.379,14.8
7.347,14.122,82.2
6.261,9.112,57.4
3.011,4.644,18.4
6.025,0.702,37.7
7.344,9.884,73.7
8.916,9.623,98.7
3.636,5.29,23.8
5.822,10.223,54.3
0.765,5.069,10.7
9.922,12.927,124.3
1.475,0.537,3.2
1.197,12.717,26.9
6.227,0.897,40.6
0.779,6.949,14.5
1.354,5.211,12.3
6.2,13.254,64.9
0.543,0.868,2.0
2.503,13.562,33.4
8.492,0.304,72.7
8.163,8.306,83.2
8.515,7.178,86.9
8.685,2.267,80.0
0.426,14.775,29.7
3.526,9.939,32.3
1.438,1.938,5.9
1.432,14.234,30.5
2.709,3.812,15.0
4.547,9.448,39.6
1.669,0.106,3.0
4.539,12.221,45.0
0.654,4.434,9.3
8.292,0.719,70.2
4.025,2.501,21.2
2.528,3.119,12.6
6.589,4.356,52.1
4.694,12.224,46.5
7.081,4.766,59.7
9.201,12.542,109.7
1.024,7.949,16.9
1.197,14.923,31.3
0.242,14.309,28.7
2.19,14.6,34.0
0.624,9.208,18.8
5.994,5.104,46.1
8.874,11.64,102.0
9.899,9.176,116.3
4.268,14.642,47.5
1.024,1.003,3.1
0.181,10.396,20.8
4.004,5.697,27.4
4.973,14.346,53.4
0.599,11.936,24.2
2.683,6.598,20.4
2.454,8.294,22.6
7.685,0.327,59.7
2.693,10.688,28.6
7.394,9.553,73.8
0.721,3.653,7.8
1.886,0.418,4.4
5.983,6.682,49.2
7.673,2.833,64.5
5.827,11.693,57.3
2.617,6.873,20.6
1.827,10.711,24.8
3.174,7.561,25.2
7.334,6.925,67.6
9.836,10.487,117.7
8.184,3.654,74.3
4.526,12.49,45.5
1.403,1.094,4.2
6.949,2.6,53.5
7.686,2.486,64.0
1.165,4.838,11.0
1.624,1.361,5.4
8.818,5.267,88.3
8.811,12.502,102.6
2.258,1.496,8.1
4.049,12.924,42.2
2.057,8.99,22.2
0.506,9.972,20.2
6.871,12.01,71.2
6.134,5.997,49.6
1.729,5.008,13.0
9.782,12.291,120.3
6.583,0.363,44.1
7.96,0.226,63.8
6.938,7.862,63.9
3.563,11.678,36.1
9.82,4.791,106.0
6.593,13.357,70.2
6.934,2.173,52.4
9.953,4.448,108.0
6.414,13.813,68.8
6.31,5.037,49.9
7.009,6.556,62.2
4.348,10.879,40.7
9.661,1.968,97.3
3.301,2.638,16.2
9.968,10.867,121.1
5.051,3.161,31.8
7.205,5.659,63.2
9.078,11.049,104.5
1.317,6.934,15.6
8.253,5.236,78.6
0.877,9.275,19.3
3.263,5.814,22.3
9.135,7.22,97.9
5.471,5.128,40.2
9.999,5.285,110.6
2.913,14.762,38.0
7.608,3.378,64.6
3.23,2.097,14.6
9.772,10.656,116.8
9.711,10.772,115.8
8.492,9.274,90.7
9.919,10.131,118.6
5.922,0.638,36.3
1.253,7.64,16.9
1.596,1.941,6.4
6.416,10.326,61.8
2.612,1.978,10.8
3.834,9.784,34.3
4.86,10.757,45.1
2.515,12.184,30.7
0.801,0.966,2.6
7.768,5.889,72.1
4.073,2.738,22.1
2.586,0.952,8.6
3.747,3.007,20.1
4.116,1.171,19.3
8.171,4.753,76.3
4.661,4.704,31.1
5.678,13.908,60.1
2.981,6.337,21.6
2.568,0.185,7.0
0.595,7.764,15.9
0.946,4.962,10.8
9.677,11.122,115.9
2.257,8.897,22.9
5.8,14.778,63.2
4.623,3.857,29.1
3.796,6.235,26.9
5.61,14.931,61.3
7.989,10.331,84.5
8.071,13.326,91.8
5.601,4.492,40.4
1.759,0.031,3.2
7.199,3.907,59.6
9.325,4.232,95.4
0.616,6.436,13.3
1.081,9.754,20.7
8.203,9.963,87.2
0.185,2.158,4.4
3.858,10.085,35.1
2.18,11.631,28.0
2.312,6.968,19.3
8.967,0.423,81.3
8.727,11.112,98.4
0.119,10.99,22.0
8.77,14.856,106.6
1.76,7.588,18.3
6.898,6.206,60.0
0.766,8.515,17.6
3.762,0.864,15.9
9.349,14.945,117.3
3.348,8.232,27.7
4.795,10.267,43.5
4.502,8.005,36.3
9.311,14.846,116.4
1.887,10.197,24.0
1.531,12.027,26.4
6.793,7.728,61.6
6.824,1.147,48.9
9.192,1.966,88.4
6.266,0.407,40.1
5.775,11.913,57.2
4.008,12.178,40.4
2.123,11.634,27.8
9.729,11.832,118.3
0.282,13.349,26.8
6.625,9.13,62.2
7.103,9.976,70.4
1.139,1.763,4.8
0.629,14.187,28.8
6.675,8.223,61.0
5.572,10.025,51.1
7.228,7.199,66.6
9.399,3.537,95.4
9.169,14.174,112.4
4.676,0.164,22.2
2.982,13.546,36.0
6.73,10.887,67.1
8.223,7.382,82.4
1.797,4.066,11.4
6.825,14.489,75.6
9.686,1.638,97.1
0.342,14.81,29.7
5.541,5.887,42.5
0.591,12.338,25.0
9.129,8.102,99.5
8.172,13.126,93.0
6.788,10.588,67.3
7.192,9.598,70.9
3.608,8.426,29.9
2.401,3.264,12.3
4.783,5.524,33.9
0.371,5.468,11.1
0.7,3.296,7.1
7.84,3.109,67.7
2.51,8.032,22.4
2.318,1.69,8.8
8.877,2.001,82.8
3.95,10.711,37.0
4.962,6.8,38.2
6.408,13.816,68.7
8.574,9.489,92.5
8.71,4.679,85.2
7.958,5.291,73.9
9.476,9.708,109.2
8.055,2.235,69.4
3.971,14.993,45.8
9.505,11.233,112.8
0.235,10.904,21.9
5.856,11.1,56.5
7.278,2.018,57.0
3.186,4.722,19.6
9.833,2.54,101.8
9.953,8.756,116.6
3.301,4.788,20.5
8.458,5.304,82.1
6.983,6.337,61.4
5.945,0.34,36.0
8.566,4.373,82.1
9.392,5.659,99.5
4.888,5.712,35.3
7.729,11.275,82.3
3.671,5.166,23.8
0.672,13.593,27.6
3.044,4.922,19.1
9.946,9.48,117.9
4.968,14.138,53.0
6.445,10.147,61.8
8.308,12.27,93.6
8.078,11.468,88.2
3.503,7.83,27.9
4.506,9.186,38.7
1.651,3.576,9.9
1.098,1.878,5.0
4.283,6.172,30.7
0.912,5.309,11.4
0.92,2.304,5.5
2.329,1.314,8.1
6.837,5.406,57.6
8.295,8.503,85.8
5.305,7.154,42.5
8.214,2.963,73.4
5.336,3.336,35.1
3.093,10.567,30.7
9.307,4.751,96.1
1.398,10.201,22.4
6.25,10.406,59.9
6.402,11.635,64.3
1.434,12.424,26.9
3.329,9.943,31.0
6.2,5.791,50.0
0.435,1.554,3.3
9.286,12.648,111.5
0.048,14.605,29.2
0.913,8.032,16.9
7.805,10.533,82.0
1.296,14.589,30.9
4.934,5.694,35.7
8.88,11.808,102.5
0.857,10.197,21.1
4.944,4.36,33.2
8.638,4.018,82.7
3.998,12.101,40.2
0.186,9.784,19.6
5.94,6.37,48.0
3.177,6.624,23.3
1.947,10.869,25.5
9.899,0.288,98.6
3.597,1.298,15.5
1.21,9.389,20.2
5.902,9.982,54.8
5.584,12.437,56.1
5.387,6.285,41.6
0.643,14.252,28.9
7.25,7.213,67.0
4.559,6.091,33.0
0.494,9.598,19.4
4.405,0.374,20.2
4.302,0.145,18.8
1.321,0.629,3.0
4.818,11.837,46.9
6.242,6.392,51.7
9.631,0.031,92.8
5.076,7.282,40.3
1.395,3.59,9.1
0.183,14.964,30.0
8.794,12.492,102.3
3.433,11.25,34.3
9.753,10.59,116.3
8.53,14.784,102.3
4.263,8.962,36.1
6.936,5.22,58.5
4.881,2.655,29.1
4.865,12.696,49.1
4.846,13.912,51.3
0.819,0.791,2.3
2.14,8.643,21.9
